,stn,TC,sum,lat,lon
111,GP17-OCE_3_8,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,-37.5001,-149.2803
112,GP17-OCE_3_10,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,-42.5003,-148.4706
113,GP17-OCE_3_12,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,-47.5,-147.5199
114,GP17-OCE_3_14,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,-52.312,-146.4033
115,GP17-OCE_3_16,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,-54.9995,-145.6559
116,GP17-OCE_3_18,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",1.862356743939983e-06,-56.1052,-145.3377
117,GP17-OCE_3_20,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,-57.6014,-144.8581
118,GP17-OCE_3_22,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,-59.9971,-143.9992
119,GP17-OCE_3_25,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,-66.9998,-134.9994
120,GP17-OCE_3_27,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",1.8331917727895477e-06,-67.0003,-115.0079
121,GP17-OCE_3_32,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,-59.9984,-82.4956
122,GP17-OCE_3_33,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,-57.0001,-78.9996
123,GP17-OCE_3_35,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,-54.3512,-76.5493
124,GP17-OCE_3_37,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,-53.4991,-75.751
125,GP17-OCE_3_38,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.6,1.A.1.10.7,1.A.1.10.8",0.0,-52.7019,-75.0972
126,GP15_3_3,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,55.08013,-155.72003
127,GP15_3_4,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,55.07994,-155.72033
128,GP15_3_5,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,53.68004,-153.79988
129,GP15_3_6,"1.A.1.10.1,1.A.1.10.12,1.A.1.10.3,1.A.1.10.4,1.A.1.10.5,1.A.1.10.7,1.A.1.10.8",0.0,52.00014,-151.99978
