,stn,cog,sum,lat,lon
384,GP15_3_10,AO,0.0,41.99998,-151.99985
385,GP15_3_12,AO,0.0,37.00007,-152.00017
386,GP15_3_14,AO,0.0,32.00006,-151.99991
387,GP15_3_15,AO,0.0,29.5003,-152.0005
388,GP15_3_16,AO,0.0,26.99984,-152.00004
389,GP15_3_18,AO,0.0,22.00015,-152.00005
390,GP15_3_18-3,AO,0.0,19.68113,-154.51301
391,GP15_3_19,AO,0.0,17.49998,-152.00007
392,GP15_3_21,AO,0.0,11.00013,-152.00001
393,GP15_3_23,AO,0.0,7.52686,-152.01638
394,GP15_3_25,AO,0.0,5.01547,-152.333
395,GP15_3_27,AO,0.0,2.49982,-152.01363
396,GP15_3_29,AO,0.0,0.032,-152.01378
397,GP15_3_31,AO,0.0,-2.50475,-152.00003
398,GP15_3_33,AO,0.0,-4.99972,-152.0347
399,GP15_3_35,AO,0.0,-10.49975,-151.99948
400,GP15_3_37,AO,0.0,-14.9986,-151.99808
401,GP15_3_39,AO,0.0,-19.99443,-152.09907
402,GP17-OCE_3_1,AO,8.038888503226058e-06,-19.9999,-152.0003
403,GP17-OCE_3_3,AO,0.0,-24.9996,-151.25
404,GP17-OCE_3_6,AO,0.0,-32.5,-150.0012
405,GP17-OCE_3_8,AO,7.123418924222504e-06,-37.5001,-149.2803
406,GP17-OCE_3_10,AO,6.751350182116393e-06,-42.5003,-148.4706
407,GP17-OCE_3_12,AO,0.0,-47.5,-147.5199
408,GP17-OCE_3_14,AO,4.466123316807789e-06,-52.312,-146.4033
409,GP17-OCE_3_16,AO,2.5553258342787268e-05,-54.9995,-145.6559
410,GP17-OCE_3_18,AO,3.357761603962144e-05,-56.1052,-145.3377
411,GP17-OCE_3_20,AO,5.8639821336271854e-05,-57.6014,-144.8581
412,GP17-OCE_3_22,AO,9.618951910026377e-05,-59.9971,-143.9992
413,GP17-OCE_3_25,AO,3.037185453705e-05,-66.9998,-134.9994
414,GP17-OCE_3_27,AO,1.7983663212077417e-05,-67.0003,-115.0079
415,GP17-OCE_3_32,AO,0.0,-59.9984,-82.4956
416,GP17-OCE_3_33,AO,0.0,-57.0001,-78.9996
