,stn,module,sum,lat,lon
212,GP15_3_5,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,53.68004,-153.79988
213,GP15_3_6,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,52.00014,-151.99978
214,GP15_3_8,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,47.00009,-151.99986
215,GP15_3_9,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",5.146013305143826e-05,44.50019,-151.99984
216,GP15_3_10,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,41.99998,-151.99985
217,GP15_3_12,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,37.00007,-152.00017
218,GP15_3_14,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,32.00006,-151.99991
219,GP15_3_15,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,29.5003,-152.0005
220,GP15_3_16,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,26.99984,-152.00004
221,GP15_3_18,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,22.00015,-152.00005
222,GP15_3_18-3,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,19.68113,-154.51301
223,GP15_3_19,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,17.49998,-152.00007
224,GP15_3_21,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,11.00013,-152.00001
225,GP15_3_23,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,7.52686,-152.01638
226,GP15_3_25,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,5.01547,-152.333
227,GP15_3_27,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,2.49982,-152.01363
228,GP15_3_29,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,0.032,-152.01378
229,GP15_3_31,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",3.209987510775106e-05,-2.50475,-152.00003
230,GP15_3_33,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,-4.99972,-152.0347
231,GP15_3_35,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,-10.49975,-151.99948
232,GP15_3_37,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,-14.9986,-151.99808
233,GP15_3_39,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,-19.99443,-152.09907
234,GP17-OCE_3_1,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,-19.9999,-152.0003
235,GP17-OCE_3_3,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,-24.9996,-151.25
236,GP17-OCE_3_6,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,-32.5,-150.0012
237,GP17-OCE_3_8,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,-37.5001,-149.2803
238,GP17-OCE_3_10,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,-42.5003,-148.4706
239,GP17-OCE_3_12,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,-47.5,-147.5199
240,GP17-OCE_3_14,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,-52.312,-146.4033
241,GP17-OCE_3_16,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,-54.9995,-145.6559
242,GP17-OCE_3_18,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,-56.1052,-145.3377
243,GP17-OCE_3_20,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,-57.6014,-144.8581
244,GP17-OCE_3_22,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,-59.9971,-143.9992
245,GP17-OCE_3_25,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,-66.9998,-134.9994
246,GP17-OCE_3_27,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,-67.0003,-115.0079
247,GP17-OCE_3_32,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,-59.9984,-82.4956
248,GP17-OCE_3_33,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,-57.0001,-78.9996
249,GP17-OCE_3_35,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,-54.3512,-76.5493
250,GP17-OCE_3_37,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,-53.4991,-75.751
251,GP17-OCE_3_38,"M00001,M00002,M00003,M00115,M00165,M00166,M00308,M00552",0.0,-52.7019,-75.0972
252,GP15_3_3,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",0.0001315090831375272,55.08013,-155.72003
253,GP15_3_4,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",5.750836521989247e-05,55.07994,-155.72033
254,GP15_3_5,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",5.738985296729498e-05,53.68004,-153.79988
255,GP15_3_6,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",6.935986329169331e-05,52.00014,-151.99978
256,GP15_3_8,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",0.0003632934834833548,47.00009,-151.99986
257,GP15_3_9,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",0.00018751871897636235,44.50019,-151.99984
258,GP15_3_10,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",0.00010755895001249066,41.99998,-151.99985
259,GP15_3_12,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",4.676008835712223e-05,37.00007,-152.00017
260,GP15_3_14,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",5.0770861246012167e-05,32.00006,-151.99991
261,GP15_3_15,"M00001,M00002,M00003,M00143,M00165,M00166,M00308,M00552",6.200628175129218e-05,29.5003,-152.0005
